T	den	cp	lambda	h
300	0.129678436	28.85621819	0.185819133	7.97993692
301	0.129247853	28.86311564	0.186298574	8.008796596
302	0.128820121	28.86990404	0.186778084	8.037663115
303	0.128395213	28.87658483	0.187257663	8.066536368
304	0.1279731	28.88315943	0.187737311	8.095416249
305	0.127553754	28.88962925	0.188217027	8.124302652
306	0.12713715	28.89599568	0.188696813	8.153195473
307	0.126723259	28.90226012	0.189176667	8.182094609
308	0.126312056	28.90842393	0.189656591	8.21099996
309	0.125903514	28.91448847	0.190136583	8.239911424
310	0.125497608	28.92045508	0.190616643	8.268828904
311	0.125094311	28.92632509	0.191076904	8.297752302
312	0.1246936	28.93209981	0.191537231	8.326681522
313	0.124295449	28.93778056	0.191997624	8.35561647
314	0.123899834	28.94336861	0.192458083	8.384557053
315	0.12350673	28.94886526	0.192918608	8.413503177
316	0.123116114	28.95427175	0.193379198	8.442454753
317	0.122727962	28.95958935	0.193839854	8.471411691
318	0.122342251	28.96481929	0.194300576	8.500373903
319	0.121958958	28.96996279	0.194761364	8.529341301
320	0.121578061	28.97502108	0.195222217	8.5583138
321	0.121199536	28.97999534	0.195732844	8.587291315
322	0.120823362	28.98488678	0.196243544	8.616273763
323	0.120449517	28.98969655	0.196754316	8.645261061
324	0.120077979	28.99442584	0.197265162	8.674253129
325	0.119708728	28.99907579	0.197776079	8.703249886
326	0.119341741	29.00364753	0.19828707	8.732251255
327	0.118976999	29.0081422	0.198798133	8.761257156
328	0.11861448	29.01256092	0.199309269	8.790267514
329	0.118254165	29.01690477	0.199820477	8.819282253
330	0.117896033	29.02117487	0.200331758	8.848301299
331	0.117540065	29.02537228	0.200833164	8.877324578
332	0.11718624	29.02949807	0.201334641	8.906352019
333	0.116834541	29.03355331	0.201836189	8.935383551
334	0.116484947	29.03753903	0.202337809	8.964419103
335	0.116137439	29.04145627	0.202839499	8.993458606
336	0.115792	29.04530606	0.203341261	9.022501993
337	0.115448611	29.0490894	0.203843093	9.051549196
338	0.115107253	29.0528073	0.204344997	9.08060015
339	0.114767908	29.05646074	0.204846971	9.109654789
340	0.114430559	29.0600507	0.205349016	9.13871305
341	0.114095189	29.06357816	0.205851131	9.16777487
342	0.113761779	29.06704406	0.206353317	9.196840186
343	0.113430313	29.07044935	0.206855574	9.225908938
344	0.113100774	29.07379497	0.207357902	9.254981065
345	0.112773144	29.07708185	0.207860301	9.284056508
346	0.112447408	29.08031089	0.20836277	9.313135209
347	0.112123549	29.083483	0.208865311	9.342217111
348	0.111801551	29.08659908	0.209367922	9.371302156
349	0.111481398	29.08966	0.209870604	9.400390291
350	0.111163073	29.09266665	0.210373358	9.429481458
351	0.110846563	29.09561987	0.21086622	9.458575606
352	0.11053185	29.09852054	0.211359151	9.487672681
353	0.110218919	29.10136948	0.211852153	9.51677263
354	0.109907756	29.10416754	0.212345223	9.545875403
355	0.109598346	29.10691553	0.212838363	9.574980948
356	0.109290674	29.10961428	0.213331572	9.604089217
357	0.108984725	29.11226458	0.21382485	9.633200161
358	0.108680484	29.11486723	0.214318198	9.662313731
359	0.108377938	29.11742301	0.214811615	9.69142988
360	0.108077073	29.11993271	0.215305102	9.720548561
361	0.107777874	29.12239708	0.215768747	9.74966973
362	0.107480327	29.12481689	0.216232457	9.778793341
363	0.10718442	29.12719288	0.216696232	9.807919349
364	0.106890137	29.1295258	0.217160072	9.837047712
365	0.106597467	29.13181637	0.217623978	9.866178387
366	0.106306396	29.13406531	0.218087948	9.895311331
367	0.106016911	29.13627334	0.218551983	9.924446503
368	0.105728998	29.13844116	0.219016083	9.953583864
369	0.105442646	29.14056947	0.219480248	9.982723373
370	0.10515784	29.14265895	0.219944478	10.01186499
371	0.10487457	29.14471029	0.220428726	10.04100868
372	0.104592822	29.14672414	0.220913042	10.0701544
373	0.104312585	29.14870118	0.221397425	10.09930211
374	0.104033846	29.15064206	0.221881876	10.12845179
375	0.103756592	29.15254742	0.222366395	10.15760339
376	0.103480814	29.15441789	0.222850981	10.18675687
377	0.103206497	29.15625411	0.223335635	10.21591221
378	0.102933632	29.1580567	0.223820357	10.24506937
379	0.102662206	29.15982627	0.224305147	10.27422831
380	0.102392209	29.16156343	0.224790004	10.30338901
381	0.102123628	29.16326877	0.225254961	10.33255143
382	0.101856453	29.16494288	0.225719984	10.36171554
383	0.101590673	29.16658635	0.226185071	10.3908813
384	0.101326276	29.16819974	0.226650223	10.4200487
385	0.101063253	29.16978364	0.22711544	10.44921769
386	0.100801592	29.17133859	0.227580722	10.47838826
387	0.100541282	29.17286515	0.228046068	10.50756036
388	0.100282315	29.17436386	0.228511479	10.53673398
389	0.100024678	29.17583527	0.228976955	10.56590908
390	0.099768362	29.1772799	0.229442496	10.59508564
391	0.099513356	29.17869828	0.229908101	10.62426363
392	0.099259652	29.18009092	0.230373771	10.65344303
393	0.099007237	29.18145834	0.230839506	10.68262381
394	0.098756104	29.18280104	0.231305305	10.71180594
395	0.098506242	29.18411951	0.231771169	10.7409894
396	0.098257642	29.18541424	0.232237098	10.77017417
397	0.098010293	29.18668572	0.232703091	10.79936022
398	0.097764187	29.18793443	0.233169149	10.82854753
399	0.097519314	29.18916083	0.233635272	10.85773608
400	0.097275665	29.19036539	0.23410146	10.88692585
401	0.097033231	29.19154856	0.234517721	10.9161168
402	0.096792003	29.19271081	0.23493404	10.94530894
403	0.096551971	29.19385256	0.235350417	10.97450222
404	0.096313127	29.19497427	0.235766851	11.00369663
405	0.096075463	29.19607636	0.236183343	11.03289216
406	0.095838968	29.19715926	0.236599892	11.06208878
407	0.095603636	29.1982234	0.237016499	11.09128647
408	0.095369456	29.19926918	0.237433163	11.12048522
409	0.095136422	29.20029702	0.237849885	11.14968501
410	0.094904523	29.20130731	0.238266664	11.17888581
411	0.094673753	29.20230047	0.238733527	11.20808762
412	0.094444102	29.20327688	0.239200454	11.23729041
413	0.094215564	29.20423692	0.239667445	11.26649416
414	0.093988129	29.20518098	0.240134501	11.29569887
415	0.093761789	29.20610943	0.240601622	11.32490452
416	0.093536538	29.20702265	0.241068807	11.35411109
417	0.093312366	29.20792099	0.241536056	11.38331856
418	0.093089266	29.20880483	0.24200337	11.41252692
419	0.092867231	29.2096745	0.242470749	11.44173617
420	0.092646253	29.21053037	0.242938192	11.47094627
421	0.092426325	29.21137278	0.243405699	11.50015722
422	0.092207438	29.21220206	0.243873271	11.52936901
423	0.091989586	29.21301856	0.244340908	11.55858162
424	0.091772761	29.21382259	0.244808609	11.58779504
425	0.091556956	29.21461449	0.245276374	11.61700926
426	0.091342164	29.21539457	0.245744204	11.64622427
427	0.091128377	29.21616315	0.246212098	11.67544005
428	0.090915589	29.21692054	0.246680057	11.70465659
429	0.090703793	29.21766705	0.24714808	11.73387389
430	0.090492982	29.21840298	0.247616167	11.76309192
431	0.090283148	29.21912862	0.248084319	11.79231069
432	0.090074285	29.21984427	0.248552536	11.82153018
