T	den	cp	lambda	h
350	1.545724774	29.21691067	0.029123005	10.17414715
351	1.541310643	29.21776694	0.029186215	10.20336449
352	1.536921726	29.21864402	0.029249366	10.2325827
353	1.532557807	29.21954199	0.029312458	10.26180179
354	1.528218672	29.22046093	0.029375492	10.29102179
355	1.52390411	29.22140093	0.029438469	10.32024272
356	1.519613912	29.22236205	0.029501388	10.3494646
357	1.515347872	29.22334437	0.029564251	10.37868745
358	1.511105786	29.22434798	0.029627058	10.40791129
359	1.506887451	29.22537295	0.029689808	10.43713615
360	1.502692669	29.22641935	0.029752504	10.46636204
361	1.498521242	29.22748726	0.029815144	10.495589
362	1.494372975	29.22857676	0.02987773	10.52481703
363	1.490247674	29.22968791	0.029940262	10.55404616
364	1.48614515	29.23082079	0.030002741	10.58327641
365	1.482065213	29.23197548	0.030065166	10.61250781
366	1.478007677	29.23315203	0.030127538	10.64174037
367	1.473972357	29.23435054	0.030189859	10.67097412
368	1.469959071	29.23557105	0.030252127	10.70020908
369	1.465967639	29.23681365	0.030314344	10.72944527
370	1.461997881	29.23807839	0.030376509	10.75868271
371	1.458049621	29.23936536	0.030438624	10.78792143
372	1.454122685	29.2406746	0.030500689	10.81716145
373	1.4502169	29.2420062	0.030562704	10.84640279
374	1.446332095	29.24336021	0.03062467	10.87564547
375	1.4424681	29.24473669	0.030686587	10.90488951
376	1.438624749	29.24613571	0.030748455	10.93413495
377	1.434801876	29.24755733	0.030810275	10.96338179
378	1.430999318	29.24900161	0.030872047	10.99263007
379	1.427216912	29.25046861	0.030933772	11.0218798
380	1.423454498	29.25195839	0.03099545	11.05113102
381	1.419711918	29.25347099	0.031057081	11.08038373
382	1.415989015	29.25500649	0.031118667	11.10963797
383	1.412285633	29.25656493	0.031180206	11.13889375
384	1.40860162	29.25814637	0.0312417	11.1681511
385	1.404936823	29.25975086	0.031303149	11.19741005
386	1.401291091	29.26137846	0.031364554	11.22667061
387	1.397664277	29.2630292	0.031425914	11.25593281
