T	den	cp	lambda	h
350	1.766658647	29.74931512	0.030683376	10.20161384
351	1.761609575	29.75629359	0.030763564	10.23136664
352	1.756589375	29.76331723	0.030843755	10.26112644
353	1.7515978	29.77038573	0.030923949	10.29089329
354	1.746634603	29.77749875	0.031004145	10.32066723
355	1.741699543	29.78465595	0.031084344	10.3504483
356	1.736792381	29.79185701	0.031164545	10.38023655
357	1.731912879	29.79910158	0.03124475	10.41003203
358	1.727060804	29.80638932	0.031324958	10.43983477
359	1.722235924	29.81371991	0.03140517	10.46964482
360	1.71743801	29.821093	0.031485385	10.49946223
361	1.712666837	29.82850825	0.031565604	10.52928702
362	1.70792218	29.83596531	0.031645827	10.55911926
363	1.703203819	29.84346385	0.031726054	10.58895897
364	1.698511535	29.85100352	0.031806285	10.6188062
365	1.69384511	29.85858398	0.031886521	10.64866099
366	1.689204333	29.86620488	0.031966761	10.67852338
367	1.68458899	29.87386588	0.032047006	10.70839341
368	1.679998873	29.88156664	0.032127256	10.73827112
369	1.675433774	29.8893068	0.03220751	10.76815656
370	1.67089349	29.89708601	0.032287769	10.79804975
371	1.666377818	29.90490394	0.032368034	10.82795074
372	1.661886557	29.91276023	0.032448304	10.85785957
373	1.657419509	29.92065454	0.032528578	10.88777628
374	1.652976479	29.92858651	0.032608859	10.91770089
375	1.648557273	29.9365558	0.032689144	10.94763346
376	1.644161699	29.94456205	0.032769436	10.97757402
377	1.639789567	29.95260492	0.032849733	11.0075226
378	1.635440691	29.96068406	0.032930035	11.03747924
379	1.631114883	29.96879912	0.033010343	11.06744398
380	1.626811961	29.97694975	0.033090658	11.09741685
381	1.622531743	29.98513559	0.033170977	11.12739789
382	1.61827405	29.99335631	0.033251303	11.15738713
383	1.614038702	30.00161154	0.033331635	11.18738461
384	1.609825525	30.00990095	0.033411973	11.21739037
385	1.605634344	30.01822417	0.033492317	11.24740443
386	1.601464987	30.02658086	0.033572667	11.27742683
387	1.597317284	30.03497068	0.033653023	11.3074576
388	1.593191065	30.04339327	0.033733385	11.33749678
389	1.589086163	30.05184828	0.033813753	11.3675444
390	1.585002414	30.06033537	0.033894128	11.39760049
391	1.580939654	30.06885419	0.033974508	11.42766508
392	1.576897721	30.07740439	0.034054895	11.4577382
393	1.572876455	30.08598562	0.034135288	11.4878199
394	1.568875698	30.09459755	0.034215687	11.51791019
395	1.564895291	30.10323981	0.034296093	11.5480091
396	1.560935081	30.11191207	0.034376504	11.57811668
397	1.556994913	30.12061398	0.034456922	11.60823294
398	1.553074635	30.1293452	0.034537346	11.63835791
399	1.549174097	30.13810539	0.034617776	11.66849164
400	1.545293149	30.1468942	0.034698212	11.69863413
401	1.541431644	30.15571128	0.034778654	11.72878543
402	1.537589436	30.16455631	0.034859102	11.75894557
403	1.533766379	30.17342893	0.034939557	11.78911456
404	1.529962332	30.18232881	0.035020017	11.81929243
405	1.526177151	30.19125562	0.035100483	11.84947922
406	1.522410697	30.200209	0.035180955	11.87967495
407	1.518662831	30.20918863	0.035261433	11.90987965
408	1.514933415	30.21819417	0.035341917	11.94009334
409	1.511222312	30.22722528	0.035422407	11.97031605
410	1.507529389	30.23628163	0.035502902	12.0005478
411	1.503854511	30.24536289	0.035583403	12.03078862
412	1.500197545	30.25446872	0.03566391	12.06103853
413	1.496558362	30.26359879	0.035744422	12.09129756
414	1.492936831	30.27275278	0.03582494	12.12156574
415	1.489332824	30.28193035	0.035905463	12.15184308
416	1.485746214	30.29113118	0.035985991	12.18212961
417	1.482176874	30.30035494	0.036066525	12.21242535
418	1.478624681	30.30960131	0.036147063	12.24273032
419	1.47508951	30.31886995	0.036227607	12.27304456
420	1.471571239	30.32816055	0.036308156	12.30336807
421	1.468069747	30.33747279	0.03638871	12.33370089
422	1.464584913	30.34680634	0.036469268	12.36404302
423	1.46111662	30.35616089	0.036549831	12.3943945
424	1.457664749	30.36553612	0.036630399	12.42475535
425	1.454229184	30.37493171	0.036710972	12.45512558
426	1.450809808	30.38434735	0.036791549	12.48550522
427	1.447406508	30.39378272	0.03687213	12.51589429
428	1.444019171	30.4032375	0.036952715	12.54629279
429	1.440647684	30.4127114	0.037033305	12.57670077
430	1.437291935	30.4222041	0.037113898	12.60711822
431	1.433951815	30.43171528	0.037194496	12.63754518
432	1.430627214	30.44124465	0.037275097	12.66798166
433	1.427318024	30.4507919	0.037355702	12.69842768
434	1.424024139	30.46035672	0.037436311	12.72888325
435	1.420745451	30.46993881	0.037516923	12.7593484
436	1.417481857	30.47953788	0.037597538	12.78982313
437	1.414233251	30.48915361	0.037678157	12.82030748
438	1.41099953	30.49878572	0.037758779	12.85080144
439	1.407780592	30.5084339	0.037839403	12.88130505
440	1.404576336	30.51809786	0.037920031	12.91181832
441	1.401386661	30.52777732	0.038000661	12.94234125
442	1.398211467	30.53747196	0.038081294	12.97287388
443	1.395050657	30.54718151	0.038161929	13.0034162
444	1.391904132	30.55690568	0.038242566	13.03396825
