Temperature[K]	den	cp	lambda	h
400	0.885619523	37.51679912	0.027552152	49.08336504
401	0.883218252	37.4612861	0.027622179	49.1208539
402	0.880832474	37.40785688	0.027692611	49.1582883
403	0.878461976	37.3563846	0.027763444	49.19567027
404	0.876106549	37.30675563	0.027834672	49.23300169
405	0.873765995	37.25886783	0.027906292	49.27028436
406	0.871440119	37.21262909	0.027978299	49.30751997
407	0.869128731	37.16795605	0.028050688	49.34471014
408	0.866831648	37.124773	0.028123456	49.38185638
409	0.864548691	37.08301092	0.028196598	49.41896016
410	0.862279685	37.04260669	0.028270109	49.45602286
411	0.86002446	37.00350237	0.028343987	49.4930458
412	0.85778285	36.96564457	0.028418227	49.53003028
413	0.855554694	36.92898397	0.028492825	49.56697749
414	0.853339832	36.89347482	0.028567778	49.60388863
415	0.851138111	36.85907455	0.028643081	49.64076481
416	0.848949378	36.82574345	0.028718731	49.67760713
417	0.846773486	36.79344433	0.028794725	49.71441664
418	0.844610289	36.7621423	0.028871058	49.75119435
419	0.842459646	36.73180452	0.028947728	49.78794125
420	0.840321418	36.70239998	0.029024732	49.82465827
421	0.838195468	36.67389938	0.029102065	49.86134635
422	0.836081663	36.64627492	0.029179725	49.89800637
423	0.833979871	36.6195002	0.029257708	49.93463918
424	0.831889965	36.5935501	0.029336011	49.97124564
425	0.829811819	36.56840065	0.029414631	50.00782655
426	0.827745308	36.54402896	0.029493566	50.0443827
427	0.825690312	36.52041312	0.029572811	50.08091486
428	0.82364671	36.49753217	0.029652365	50.11742377
429	0.821614388	36.47536596	0.029732224	50.15391016
430	0.819593228	36.45389518	0.029812385	50.19037474
431	0.817583119	36.43310121	0.029892846	50.22681818
432	0.81558395	36.41296618	0.029973604	50.26324116
433	0.813595611	36.39347283	0.030054656	50.29964432
434	0.811617996	36.37460454	0.030136	50.33602831
435	0.809650999	36.35634526	0.030217632	50.37239374
436	0.807694517	36.33867949	0.030299551	50.4087412
437	0.805748448	36.32159225	0.030381754	50.44507129
438	0.803812692	36.30506905	0.030464238	50.48138457
439	0.80188715	36.28909587	0.030547002	50.51768161
440	0.799971726	36.27365914	0.030630041	50.55396294
441	0.798066324	36.25874573	0.030713355	50.5902291
442	0.79617085	36.24434288	0.030796941	50.6264806
443	0.794285212	36.23043825	0.030880797	50.66271795
444	0.792409319	36.21701987	0.03096492	50.69894164
445	0.790543082	36.20407612	0.031049307	50.73515215
446	0.788686412	36.19159573	0.031133958	50.77134995
447	0.786839223	36.17956774	0.03121887	50.80753549
448	0.785001429	36.16798154	0.03130404	50.84370923
449	0.783172946	36.1568268	0.031389467	50.8798716
450	0.781353692	36.1460935	0.031475148	50.91602303
451	0.779543584	36.13577188	0.031561082	50.95216393
452	0.777742541	36.12585249	0.031647266	50.9882947
453	0.775950486	36.1163261	0.031733699	51.02441576
454	0.774167339	36.10718378	0.031820378	51.06052749
455	0.772393023	36.09841681	0.031907302	51.09663025
456	0.770627463	36.09001673	0.031994469	51.13272444
457	0.768870583	36.08197529	0.032081877	51.16881041
458	0.767122309	36.07428447	0.032169524	51.20488851
459	0.76538257	36.06693649	0.032257408	51.24095909
460	0.763651293	36.05992374	0.032345528	51.27702249
461	0.761928406	36.05323883	0.032433882	51.31307905
462	0.760213841	36.04687456	0.032522467	51.34912908
463	0.758507529	36.04082393	0.032611284	51.3851729
464	0.7568094	36.03508012	0.032700328	51.42121083
465	0.755119389	36.02963647	0.0327896	51.45724316
466	0.753437429	36.02448652	0.032879098	51.4932702
467	0.751763455	36.01962395	0.032968819	51.52929223
