T	den	cp	lambda
350	1.598718592	29.24493599	0.029360629
351	1.594152239	29.24706579	0.029427235
352	1.589611975	29.24922135	0.029493795
353	1.585097579	29.25140265	0.02956031
354	1.580608828	29.25360969	0.02962678
355	1.576145504	29.25584248	0.029693204
356	1.57170739	29.25810098	0.029759584
357	1.567294274	29.26038519	0.02982592
358	1.562905943	29.2626951	0.029892213
359	1.558542189	29.2650307	0.029958462
360	1.554202805	29.26739198	0.030024668
361	1.549887588	29.26977891	0.030090832
362	1.545596334	29.2721915	0.030156954
363	1.541328845	29.27462972	0.030223033
364	1.537084923	29.27709356	0.030289072
365	1.532864372	29.279583	0.030355069
366	1.528667	29.28209802	0.030421025
367	1.524492615	29.28463861	0.030486942
368	1.520341029	29.28720475	0.030552818
369	1.516212055	29.28979641	0.030618655
370	1.512105508	29.29241357	0.030684452
371	1.508021205	29.29505624	0.03075021
372	1.503958965	29.29772435	0.03081593
373	1.49991861	29.30041792	0.030881612
374	1.495899963	29.3031369	0.030947256
375	1.491902849	29.30588128	0.031012862
376	1.487927094	29.30865102	0.031078431
377	1.483972527	29.3114461	0.031143963
378	1.480038981	29.31426651	0.031209459
379	1.476126285	29.3171122	0.031274919
380	1.472234274	29.31998316	0.031340342
381	1.468362785	29.32287933	0.03140573
382	1.464511656	29.32580071	0.031471083
383	1.460680724	29.32874726	0.031536401
384	1.456869833	29.33171895	0.031601684
385	1.453078823	29.33471575	0.031666933
386	1.44930754	29.33773762	0.031732149
387	1.445555831	29.34078452	0.03179733
388	1.441823542	29.34385643	0.031862478
389	1.438110522	29.3469533	0.031927593
390	1.434416622	29.35007511	0.031992675
391	1.430741695	29.3532218	0.032057725
392	1.427085595	29.35639335	0.032122743
393	1.423448176	29.35958971	0.032187729
394	1.419829296	29.36281085	0.032252683
395	1.416228813	29.36605672	0.032317606
396	1.412646586	29.36932727	0.032382498
397	1.409082478	29.37262249	0.032447359
398	1.405536349	29.3759423	0.03251219
399	1.402008064	29.37928667	0.032576991
400	1.398497489	29.38265557	0.032641762
401	1.39500449	29.38604893	0.032706503
402	1.391528936	29.38946671	0.032771215
403	1.388070695	29.39290886	0.032835898
404	1.384629638	29.39637535	0.032900552
405	1.381205637	29.39986612	0.032965177
406	1.377798565	29.40338111	0.033029775
407	1.374408297	29.40692027	0.033094344
408	1.371034709	29.41048357	0.033158886
409	1.367677677	29.41407093	0.0332234
410	1.364337079	29.41768232	0.033287886
411	1.361012796	29.42131766	0.033352346
412	1.357704706	29.42497693	0.033416779
413	1.354412693	29.42866004	0.033481186
414	1.351136638	29.43236696	0.033545566
415	1.347876427	29.43609761	0.03360992
416	1.344631943	29.43985195	0.033674249
417	1.341403073	29.44362991	0.033738552
418	1.338189705	29.44743145	0.033802829
419	1.334991726	29.45125649	0.033867082
420	1.331809027	29.45510497	0.033931309
421	1.328641497	29.45897683	0.033995512
422	1.325489029	29.46287201	0.034059691
423	1.322351514	29.46679046	0.034123845
424	1.319228847	29.47073209	0.034187976
425	1.316120923	29.47469686	0.034252082
426	1.313027636	29.47868469	0.034316166
427	1.309948884	29.48269552	0.034380225
428	1.306884563	29.48672928	0.034444262
429	1.303834574	29.4907859	0.034508276
430	1.300798814	29.49486532	0.034572267
431	1.297777185	29.49896747	0.034636235
432	1.294769587	29.50309227	0.034700181
433	1.291775924	29.50723966	0.034764105
434	1.288796097	29.51140957	0.034828008
435	1.285830012	29.51560193	0.034891888
436	1.282877574	29.51981666	0.034955747
437	1.279938688	29.52405369	0.035019584
438	1.277013261	29.52831295	0.035083401
439	1.2741012	29.53259436	0.035147196
440	1.271202415	29.53689786	0.035210971
441	1.268316813	29.54122335	0.035274725
442	1.265444306	29.54557078	0.035338458
443	1.262584803	29.54994006	0.035402171
444	1.259738218	29.55433111	0.035465865
445	1.256904462	29.55874387	0.035529538
446	1.254083449	29.56317824	0.035593191
447	1.251275093	29.56763416	0.035656825
448	1.248479307	29.57211153	0.03572044
449	1.245696009	29.57661029	0.035784035
450	1.242925115	29.58113035	0.035847611
451	1.240166542	29.58567163	0.035911169
452	1.237420207	29.59023405	0.035974707
453	1.234686029	29.59481753	0.036038227
454	1.231963928	29.59942198	0.036101729
455	1.229253823	29.60404733	0.036165212
456	1.226555635	29.60869349	0.036228677
457	1.223869286	29.61336037	0.036292124
458	1.221194697	29.6180479	0.036355553
459	1.218531792	29.62275598	0.036418964
460	1.215880495	29.62748452	0.036482358
461	1.213240728	29.63223346	0.036545734
462	1.210612416	29.63700269	0.036609093
463	1.207995487	29.64179213	0.036672435
464	1.205389865	29.6466017	0.03673576
465	1.202795477	29.65143131	0.036799068
466	1.200212251	29.65628086	0.036862359
467	1.197640114	29.66115028	0.036925633
468	1.195078995	29.66603947	0.036988891
469	1.192528824	29.67094834	0.037052133
470	1.18998953	29.6758768	0.037115358
471	1.187461044	29.68082477	0.037178567
472	1.184943297	29.68579214	0.037241761
473	1.18243622	29.69077884	0.037304938
474	1.179939746	29.69578477	0.037368099
475	1.177453807	29.70080984	0.037431245
476	1.174978337	29.70585395	0.037494375
477	1.172513269	29.71091702	0.03755749
478	1.170058539	29.71599895	0.037620589
479	1.16761408	29.72109965	0.037683673
480	1.165179829	29.72621902	0.037746742
481	1.162755722	29.73135698	0.037809796
482	1.160341694	29.73651343	0.037872835
483	1.157937685	29.74168828	0.037935859
484	1.15554363	29.74688142	0.037998868
485	1.15315947	29.75209276	0.038061863
486	1.150785141	29.75732222	0.038124843
487	1.148420583	29.76256969	0.038187809
488	1.146065736	29.76783509	0.038250761
489	1.14372054	29.77311831	0.038313698
490	1.141384937	29.77841925	0.038376621
491	1.139058866	29.78373783	0.03843953
492	1.13674227	29.78907394	0.038502424
493	1.134435091	29.79442749	0.038565305
494	1.132137272	29.79979838	0.038628172
495	1.129848754	29.80518652	0.038691026
496	1.127569483	29.8105918	0.038753865
497	1.125299402	29.81601414	0.038816691
498	1.123038456	29.82145342	0.038879504
499	1.120786589	29.82690956	0.038942303
500	1.118543746	29.83238245	0.039005089
501	1.116309875	29.837872	0.039067861
502	1.11408492	29.84337812	0.03913062
503	1.111868828	29.84890069	0.039193366
504	1.109661547	29.85443962	0.039256099
505	1.107463024	29.85999482	0.039318819
506	1.105273206	29.86556618	0.039381526
507	1.103092043	29.8711536	0.03944422
508	1.100919483	29.87675699	0.039506901
509	1.098755474	29.88237624	0.03956957
510	1.096599967	29.88801127	0.039632226
511	1.094452912	29.89366196	0.039694869
512	1.092314259	29.89932822	0.039757499
513	1.090183957	29.90500994	0.039820117
